The state associated with the return,The State Federal Information Processing System (FIPS) code,zipcode,Number of returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of elderly returns,Adjusted gross income (AGI),Number of returns with total income, Total income amount ,Total Income Tax,Mean Income,agi_stub_count,note
AL,1,35481,1220,380,290,2340,340,58918,1220," 59,142 ",4325," 48,477.05 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35490,1990,740,370,3970,360,133341,1990," 134,005 ",13036," 67,339.20 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35501,3650,1130,790,7230,870,193925,3650," 195,880 ",16273," 53,665.75 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35503,3450,1530,450,6920,930,220866,3450," 222,511 ",19938," 64,495.94 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35504,5510,2470,690,11060,1600,449288,5510," 452,742 ",50505," 82,167.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35540,950,470,110,1910,230,57752,950," 58,325 ",5098," 61,394.74 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35541,1470,780,150,2950,510,122683,1470," 124,036 ",14358," 84,378.23 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35542,450,230,50,980,120,25156,450," 25,211 ",1756," 56,024.45 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35543,370,160,50,750,90,19636,370," 19,716 ",1538," 53,286.49 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35544,230,110,20,480,60,11908,230," 11,949 ",807," 51,952.18 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35546,1570,760,220,3410,360,95149,1570," 95,700 ",7514," 60,955.41 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35548,570,250,100,1150,150,28905,570," 29,143 ",2167," 51,128.07 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35549,1370,510,230,2680,330,65642,1370," 66,138 ",4512," 48,275.91 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35550,1890,720,350,3710,470,101832,1890," 102,410 ",7980," 54,185.19 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35552,340,160,40,720,70,17068,340," 17,109 ",1118," 50,320.59 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35553,1690,750,210,3340,490,107906,1690," 108,782 ",11225," 64,368.05 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35554,410,190,50,820,130,23761,410," 23,823 ",1830," 58,104.88 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35555,3550,1410,630,7070,1010,198113,3550," 199,592 ",16041," 56,223.10 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35563,1630,670,250,3200,440,89921,1630," 90,400 ",7044," 55,460.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35564,870,390,120,1860,180,42265,870, 42544.000100000005 ,2726," 48,901.15 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35565,4760,1980,740,9600,1120,275252,4760," 277,267 ",27963," 58,249.37 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35570,4050,1670,600,8080,1000,219582,4050," 221,124 ",18511," 54,598.52 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35571,350,160,40,720,90,17532,350," 17,589 ",1135," 50,254.29 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35572,410,220,30,770,150,29407,410," 29,559 ",2967," 72,095.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35574,530,270,60,1110,160,33293,530, 33354.000199999995 ,2756," 62,932.08 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35575,370,160,50,720,100,19719,370," 19,760 ",1508," 53,405.41 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35576,1130,560,160,2390,360,70161,1130," 70,545 ",5543," 62,429.20 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35578,1860,820,280,3890,420,100304,1860," 100,960 ",7486," 54,279.57 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35579,1180,500,200,2340,300,64284,1180," 64,631 ",4815," 54,772.03 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35580,1540,630,250,3060,390,89310,1540," 89,855 ",7404," 58,347.40 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35581,1940,890,290,4030,460,108660,1940," 109,469 ",9053," 56,427.32 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35582,1590,640,240,3100,430,103770,1590," 104,456 ",10851," 65,695.60 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35585,620,300,60,1290,190,37000,620," 37,208 ",3089," 60,012.90 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35586,1530,690,300,3230,430,82232,1530," 82,743 ",5972," 54,080.39 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35587,300,150,40,620,90,16924,300," 17,003 ",1251," 56,676.67 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35592,1690,690,340,3500,440,96543,1690," 97,210 ",7340," 57,520.71 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35593,690,330,80,1370,180,38318,690, 38501.000100000005 ,2841," 55,798.55 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35594,2980,1310,440,6100,800,201239,2980," 202,747 ",20293," 68,035.91 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35601,13570,3520,3230,25830,3200,767773,13570," 773,637 ",74087," 57,010.83 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35603,14780,5950,2190,28140,4620,1210007,14780," 1,217,800 ",131426," 82,395.13 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35610,790,390,70,1560,220,47614,790," 47,869 ",3989," 60,593.67 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35611,11090,3800,1940,20970,2870,677191,11090," 681,897 ",64064," 61,487.56 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35613,12060,6240,1060,24650,3540,1232264,12060," 1,240,169 ",151581," 102,833.25 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35614,3290,1390,460,6570,860,198789,3290," 200,165 ",16709," 60,840.43 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35616,1400,610,190,2830,470,78972,1400," 79,248 ",6464," 56,605.71 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35618,740,180,200,1320,200,37028,740, 37203.000199999995 ,2944," 50,274.32 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35619,2210,1020,280,4530,540,151261,2210," 152,203 ",15359," 68,870.14 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35620,4220,1880,530,8450,960,269180,4220," 270,955 ",23528," 64,207.35 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35621,1220,600,130,2510,330,82913,1220," 83,308 ",7412," 68,285.25 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35622,2850,1250,360,5750,730,168020,2850," 169,014 ",13833," 59,303.16 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35630,12660,3570,2040,22030,3400,769173,12660," 776,785 ",85887," 61,357.42 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35633,8780,4020,940,17160,2670,588009,8780," 593,430 ",56281," 67,588.84 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35634,4700,2370,410,9240,1720,477988,4700," 482,888 ",65287," 102,742.13 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35640,11370,5190,1370,22870,3060,925217,11370," 930,029 ",105255," 81,796.75 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35643,1310,450,270,2460,380,68008,1310," 68,306 ",4774," 52,141.98 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35645,6170,3110,530,12420,1980,525577,6170," 529,406 ",61359," 85,803.24 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35646,1780,670,320,3450,500,103846,1780," 104,585 ",9363," 58,755.62 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35647,490,220,60,1000,120,30201,490," 30,318 ",2451," 61,873.47 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35648,1620,830,150,3260,490,108539,1620," 109,135 ",9889," 67,367.28 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35650,5750,2570,790,11550,1550,355431,5750," 357,646 ",30602," 62,199.30 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35651,480,230,70,980,140,25672,480," 25,902 ",1788," 53,962.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35652,3760,1770,370,7390,1180,274008,3760," 275,676 ",28231," 73,318.09 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35653,4460,1660,860,9400,960,238375,4460," 240,354 ",19317," 53,891.03 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35654,3140,1280,510,6470,710,158356,3140," 159,376 ",11345," 50,756.69 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35660,3810,1060,750,6950,960,184193,3810," 185,819 ",14782," 48,771.39 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35661,8260,3450,1190,16110,2450,677672,8260," 682,908 ",81917," 82,676.51 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35670,3330,1500,410,6570,960,223068,3330," 224,382 ",20703," 67,381.98 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35671,1070,330,240,2150,240,64427,1070," 64,972 ",6379," 60,721.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35672,2450,1020,410,4940,670,150249,2450," 150,831 ",13493," 61,563.67 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35673,3470,1560,490,7100,890,224503,3470," 225,536 ",19749," 64,995.97 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35674,8400,3460,1180,16350,2310,573341,8400," 577,459 ",59384," 68,745.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35677,710,350,80,1440,210,41318,710, 41530.000100000005 ,3397," 58,492.96 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35739,2450,1080,300,4900,620,160794,2450," 161,911 ",14441," 66,086.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35740,1330,480,220,2520,350,69224,1330," 69,472 ",5336," 52,234.59 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35741,1790,820,120,3430,630,259772,1790," 261,814 ",42685," 146,264.80 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35744,1020,460,140,2070,240,55878,1020," 56,203 ",4316," 55,100.98 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35746,340,150,30,660,90,16952,340," 16,987 ",1151," 49,961.77 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35747,2640,1290,280,5350,730,198194,2640," 199,331 ",21165," 75,504.17 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35748,3690,1950,300,7790,1100,443505,3690," 447,116 ",63518," 121,169.65 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35749,13580,5510,1890,26510,3210,1138123,13580," 1,144,409 ",124700," 84,271.65 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35750,6840,2820,920,13230,1670,447082,6840," 449,961 ",40765," 65,783.77 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35752,850,350,130,1680,260,49460,850," 49,785 ",4189," 58,570.59 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35754,2350,930,440,5080,670,155302,2350," 156,497 ",14806," 66,594.47 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35755,320,170,30,610,160,23788,320," 23,876 ",2514," 74,612.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35756,12560,5950,1450,26910,2230,1367241,12560," 1,375,814 ",170690," 109,539.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35757,9590,3850,1060,17870,2490,867393,9590," 873,163 ",101291," 91,049.32 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35758,22290,9590,2350,44050,5670,2489890,22290," 2,506,121 ",336606," 112,432.53 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35759,6140,2780,760,12590,1530,532256,6140," 535,551 ",55192," 87,223.29 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35760,2210,980,270,4330,590,148877,2210," 149,811 ",14755," 67,787.78 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35761,6190,2820,810,12720,1460,494026,6190," 497,432 ",50622," 80,360.58 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35763,10350,5950,610,22820,3200,1375287,10350," 1,386,277 ",194208," 133,939.81 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35764,240,110,20,450,70,10781,240," 10,812 ",643," 45,050.00 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35765,1470,700,170,3020,370,80771,1470," 81,223 ",6150," 55,253.74 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35768,4780,1850,740,9150,1300,278711,4780," 280,928 ",25136," 58,771.55 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35769,4520,2050,520,8700,1530,398742,4520," 401,494 ",51596," 88,826.11 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35771,1490,660,210,3020,420,81068,1490," 81,639 ",6534," 54,791.28 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35772,1780,680,330,3520,430,93317,1780," 93,646 ",7218," 52,610.11 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35773,6460,2490,1030,12690,1400,435935,6460," 438,751 ",41203," 67,918.11 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35775,280,100,60,560,70,14286,280," 14,310 ",1079," 51,107.14 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35776,1460,640,200,2870,390,84608,1460," 85,041 ",7325," 58,247.26 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35801,10570,4110,780,18560,3580,1657111,10570," 1,675,707 ",286435," 158,534.25 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35802,11540,4330,930,19960,4310,1397906,11540," 1,410,549 ",217937," 122,231.28 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35803,14610,6390,1300,27270,4970,1376022,14610," 1,385,763 ",166515," 94,850.31 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35805,7640,1190,2040,13550,1210,292858,7640," 294,774 ",20095," 38,582.98 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35806,14030,4200,1530,22800,3250,1261944,14030," 1,269,292 ",159060," 90,469.85 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35808,390,230,30,890,90,40837,390," 40,979 ",4604," 105,074.36 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35810,13380,2190,3770,23280,3260,562193,13380," 565,372 ",40695," 42,255.01 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35811,13810,5340,1850,25850,3910,1124067,13810," 1,131,246 ",128067," 81,914.99 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35816,5650,570,1530,9090,810,207925,5650," 209,092 ",14978," 37,007.43 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35824,5120,1780,490,8570,1200,501986,5120," 505,372 ",65035," 98,705.47 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35901,7410,2330,1570,14230,2050,540745,7410," 546,696 ",67976," 73,778.14 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35903,7080,2270,1560,13580,1780,359526,7080," 361,836 ",27376," 51,106.78 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35904,5240,1740,1100,10130,1310,242893,5240," 244,486 ",18375," 46,657.63 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35905,2740,1240,350,5390,850,169017,2740," 170,400 ",14701," 62,189.78 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35906,4590,1800,720,8850,1340,304730,4590," 308,071 ",29418," 67,117.86 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35907,4120,2090,370,8270,1300,329823,4120," 332,527 ",35655," 80,710.44 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35950,8920,3000,2020,18750,1770,467209,8920," 471,039 ",39430," 52,807.06 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35951,5430,1950,1160,11480,1000,290043,5430," 292,647 ",27304," 53,894.48 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35952,2880,1290,450,6090,670,155846,2880," 157,585 ",12837," 54,717.01 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35953,3160,1370,410,6260,870,210594,3160," 212,222 ",20147," 67,158.86 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35954,4800,1700,910,9450,1150,232576,4800," 234,178 ",18154," 48,787.08 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35956,3780,1650,550,7630,900,222505,3780," 224,119 ",21575," 59,290.74 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35957,6570,2460,1280,13490,1410,341613,6570," 344,192 ",27642," 52,388.43 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35958,1210,600,150,2510,310,74001,1210," 74,591 ",6439," 61,645.45 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35959,1980,840,290,3830,670,116207,1980," 116,898 ",10653," 59,039.39 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35960,4030,1810,580,8040,1330,252722,4030," 254,846 ",22997," 63,237.22 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35961,2290,840,460,4820,450,109767,2290," 110,496 ",7885," 48,251.53 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35962,2860,1130,570,6190,550,138208,2860," 139,144 ",8876," 48,651.75 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35963,700,290,110,1420,150,33789,700," 33,980 ",2416," 48,542.86 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35966,1350,690,130,2830,330,77894,1350," 78,423 ",6669," 58,091.11 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35967,6730,2630,1150,13860,1560,377099,6730," 379,678 ",33298," 56,415.75 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35968,2280,1000,310,4560,650,151028,2280," 152,579 ",15901," 66,920.61 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35971,1810,770,270,3630,420,95183,1810," 95,812 ",7840," 52,934.81 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35972,470,270,50,1030,140,28589,470," 28,754 ",2256," 61,178.72 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35973,1050,490,160,2190,280,56872,1050," 57,244 ",4041," 54,518.10 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35974,750,300,130,1470,160,36820,750, 37036.000100000005 ,2508," 49,381.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35975,370,180,40,780,100,22533,370," 22,681 ",2186," 61,300.00 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35976,7560,3280,930,14460,2570,676994,7560," 684,353 ",90820," 90,522.88 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35978,2130,960,290,4300,490,136843,2130," 137,746 ",11951," 64,669.48 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35979,500,280,60,1100,110,27511,500," 27,689 ",1949," 55,378.00 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35980,2020,840,370,4340,420,100752,2020," 101,583 ",7326," 50,288.61 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35981,800,370,80,1610,200,42561,800," 42,826 ",3113," 53,532.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35983,1570,710,210,3050,490,96655,1570," 97,313 ",8829," 61,982.80 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35984,900,420,70,1620,400,62316,900, 62716.000100000005 ,6459," 69,684.44 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35986,3450,1550,500,7070,880,215688,3450," 217,177 ",19624," 62,949.86 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35987,1060,470,110,2180,300,60675,1060, 61252.000199999995 ,5305," 57,784.91 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35988,690,290,110,1460,130,37284,690, 37446.000100000005 ,2916," 54,269.57 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35989,1320,570,200,2710,310,77186,1320," 77,756 ",7073," 58,906.06 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36003,740,200,200,1400,180,43837,740, 44162.000100000005 ,4521," 59,678.38 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36005,720,270,130,1420,190,38831,720, 38998.000100000005 ,3006," 54,163.89 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36006,580,250,70,1160,150,35559,580," 35,760 ",3314," 61,655.17 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36009,1070,390,200,2060,300,66790,1070," 67,333 ",6201," 62,928.04 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36010,1960,560,440,3740,540,93253,1960," 94,041 ",7165," 47,980.10 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36013,220,130,20,470,70,32278,220," 32,523 ",5014," 147,831.82 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36016,1210,340,280,2200,360,61474,1210," 62,083 ",5107," 51,308.26 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36017,740,140,130,1210,140,21077,740, 21214.000200000002 ,1394," 28,667.57 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36020,500,160,100,960,130,28834,500," 28,975 ",2564," 57,950.00 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36022,6240,2980,780,12920,1590,486854,6240," 489,631 ",47234," 78,466.51 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36024,2780,1260,410,5420,900,212592,2780," 214,758 ",22393," 77,251.08 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36025,1830,550,400,3500,380,96675,1830," 97,227 ",7616," 53,129.51 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36026,470,230,40,880,210,43458,470," 43,743 ",5482," 93,070.21 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36027,6110,1680,1490,11590,1550,337428,6110," 339,965 ",31707," 55,640.75 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36028,700,280,110,1390,210,36060,700, 36441.000100000005 ,2977," 52,058.57 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36029,410,130,70,710,160,29237,410, 29564.000399999997 ,2930," 72,107.32 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36030,170,50,40,300,50,7327,170," 7,354 ",491," 43,258.82 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36032,960,180,410,2010,240,44038,960, 44275.000199999995 ,3247," 46,119.79 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36033,1400,400,400,2730,360,65291,1400," 65,642 ",4703," 46,887.14 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,36034,330,130,70,630,100,15680,330," 15,714 ",1039," 47,618.18 ",6,Sum of all income groups (agi_stubs 1-6)
